image,caption,more_home_id,
http://smartrent.hyly.us/wp-content/uploads/upper_level.jpg,Upper Level,The Red Maple,
http://smartrent.hyly.us/wp-content/uploads/lower_level.jpg,Lower Level Standard, The Red Maple,
http://smartrent.hyly.us/wp-content/uploads/lower_level_optional.jpg, Lower Level Optional Floor Plans, The Red Maple,
http://smartrent.hyly.us/wp-content/uploads/garage_level.jpg,Garage Level,Silver Maple,
http://smartrent.hyly.us/wp-content/uploads/upper_level1.jpg,Upper Level,Silver Maple,
http://smartrent.hyly.us/wp-content/uploads/lower_level1.jpg,Upper Level,Silver Maple,
